;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;225,000;16,199;20,782;92,934;110,225;613,144;0,108;3,375;298,892;4535,514;298,892
0;270,000;18,820;25,587;126,781;225,043;633,493;0,283;5,639;299,668;3927,212;299,668
0;315,000;19,855;26,158;138,218;187,926;638,309;0,236;4,419;377,280;5159,001;377,280
0;360,000;22,587;32,449;164,569;248,233;780,357;0,199;5,514;530,737;3070,597;530,737
0;405,000;22,140;30,786;153,971;263,354;734,351;0,162;5,685;513,407;3405,898;513,407
0;450,000;21,765;29,515;147,869;236,495;747,905;0,862;5,384;510,272;3329,118;510,272
0;495,000;20,165;27,511;142,287;208,412;777,312;0,327;4,354;596,459;3336,318;596,459
0;540,000;21,800;30,569;175,331;274,120;728,855;0,108;5,940;597,128;4379,226;597,128
0;585,000;21,803;30,682;169,700;279,328;768,651;0,452;5,993;575,647;3422,775;575,647
0;630,000;19,847;28,118;136,626;189,605;984,379;0,752;5,303;516,792;2911,534;516,792
0;675,000;23,410;37,358;221,990;443,480;1311,923;2,645;22,416;564,620;2874,403;564,620
0;720,000;23,448;32,857;188,285;276,033;1045,452;0,467;5,883;529,626;4469,582;529,626
0;765,000;23,721;32,656;170,455;233,463;920,609;0,341;4,831;564,415;3177,822;564,415
0;810,000;23,795;33,042;159,834;210,642;912,354;0,582;4,509;569,643;2388,221;569,643
0;855,000;22,197;31,774;163,030;254,759;912,588;0,357;6,220;562,210;2393,962;562,210
0;900,000;24,395;35,900;202,358;245,117;975,277;0,285;5,296;559,028;5720,150;559,028
0;945,000;26,573;38,706;193,640;270,473;891,673;0,408;5,286;589,961;5715,623;589,961
0;990,000;26,048;41,158;228,983;362,005;1035,962;0,067;7,833;569,817;4570,050;569,817
0;1035,000;21,005;34,764;204,245;346,870;1046,074;0,481;10,841;560,115;4509,298;560,115
0;1080,000;19,176;29,863;171,132;296,648;753,153;-0,058;9,353;530,351;4530,468;530,351
0;1125,000;20,885;32,954;188,554;295,885;855,036;0,002;8,793;559,449;5024,525;559,449
0;1170,000;20,542;35,303;184,025;377,523;1010,338;1,177;13,245;577,122;4937,488;577,122
0;1215,000;21,722;36,998;204,627;408,331;1081,162;1,600;16,948;621,579;0,000;621,579
0;1260,000;19,603;29,614;168,124;267,688;812,180;-0,045;8,686;703,716;4114,455;703,716
0;1305,000;19,462;28,692;154,887;212,395;849,097;0,808;6,674;615,453;4145,486;615,453
0;1350,000;19,702;29,429;155,017;235,667;788,133;0,944;7,523;683,946;4207,628;683,946
0;1395,000;22,858;32,860;168,022;213,170;944,138;0,594;4,992;894,243;2911,179;894,243
0;1440,000;24,887;40,479;230,479;453,307;1136,060;1,023;10,809;958,798;8598,913;958,798
0;1485,000;23,059;33,648;171,097;265,511;994,272;0,782;6,053;788,173;4353,901;788,173
0;1530,000;19,363;28,053;141,756;210,253;945,143;1,198;8,158;743,760;2690,725;743,760
0;1575,000;15,561;21,714;116,896;160,571;858,899;0,623;5,527;804,047;2515,329;804,047
0;1620,000;17,946;24,922;120,843;172,388;852,052;0,510;4,776;814,711;3882,353;814,711
0;1665,000;19,721;27,879;138,977;243,248;786,247;0,507;6,119;697,925;2554,055;697,925
0;1710,000;24,685;40,367;189,921;447,919;989,177;0,641;10,844;710,678;0,000;710,678
0;1755,000;27,300;47,059;217,690;386,296;1221,217;0,666;8,902;747,468;11311,753;747,468
0;1800,000;22,338;39,267;207,311;388,828;1002,207;0,609;10,897;669,022;0,000;669,022
0;1845,000;17,636;27,968;153,673;328,861;1003,666;0,481;12,634;737,772;0,000;737,772
0;1890,000;22,831;46,121;242,277;618,294;1313,425;3,755;40,062;794,058;0,000;794,058
0;1935,000;20,634;46,512;244,608;661,479;1770,415;4,988;54,757;802,276;0,000;802,276
0;1980,000;18,114;26,809;142,962;215,606;911,975;-0,185;7,502;756,384;0,000;756,384
0;2025,000;18,678;28,117;143,039;244,819;987,026;0,422;8,013;763,799;0,000;763,799
