;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;3150,000;11,183;41,911;763,466;763,466;0,000;11,123;156,536;1823,810;0,000;1823,810
0;3195,000;11,576;42,464;752,644;752,644;0,000;11,286;158,146;1851,200;0,000;1851,200
0;3240,000;11,742;42,498;760,478;760,478;0,000;11,367;162,890;1885,966;0,000;1885,966
0;3285,000;10,751;42,357;799,861;799,861;0,000;12,381;187,175;1921,502;0,000;1921,502
0;3330,000;10,848;49,913;883,800;883,800;0,000;13,219;203,168;1926,915;0,000;1926,915
0;3375,000;11,525;50,238;907,924;907,924;0,000;13,265;207,432;1964,682;0,000;1964,682
0;3420,000;11,302;52,585;950,241;950,241;0,000;13,645;213,957;1920,764;0,000;1920,764
0;3465,000;11,703;54,657;1021,127;1021,127;7850,506;13,046;199,881;1985,474;0,000;1985,474
0;3510,000;12,726;55,318;1017,083;1017,083;8272,687;12,021;174,372;1953,995;0,000;1953,995
0;3555,000;8,343;15,145;153,524;153,524;2329,452;3,621;23,727;463,362;0,000;463,362
0;3600,000;7,721;14,247;167,323;167,323;7772,149;3,642;28,622;496,103;0,000;496,103
0;3645,000;7,478;14,718;207,067;207,067;8020,886;4,117;40,198;514,714;0,000;514,714
0;3690,000;7,285;15,227;191,315;191,315;5799,863;4,684;42,289;549,977;0,000;549,977
0;3735,000;7,914;17,200;271,133;271,133;11984,376;4,839;56,651;561,798;0,000;561,798
0;3780,000;8,244;20,178;325,025;325,025;8077,837;6,687;78,248;580,205;10588,208;580,205
0;3825,000;9,693;22,555;368,977;368,977;9202,876;5,758;64,710;600,491;3266,795;600,491
0;3870,000;9,825;22,918;360,002;360,002;7959,006;4,355;47,848;462,744;3377,189;462,744
0;3915,000;8,138;15,811;188,899;188,899;3969,471;3,875;29,994;435,393;3601,534;435,393
0;3960,000;8,178;17,286;256,347;256,347;8005,633;5,735;60,625;435,074;3601,692;435,074
0;4005,000;8,182;15,802;209,750;209,750;7987,115;3,914;34,154;427,995;3588,224;427,995
0;4050,000;8,513;15,939;191,580;191,580;3197,955;3,262;25,289;436,499;11625,566;436,499
0;4095,000;8,586;16,309;200,719;200,719;5318,759;2,774;23,851;404,787;4226,768;404,787
0;4140,000;9,372;16,341;178,798;178,798;2828,592;1,911;15,541;395,663;4271,715;395,663
0;4185,000;9,784;16,992;194,382;194,382;2385,091;2,919;24,867;458,292;11816,101;458,292
0;4230,000;9,490;16,926;191,899;191,899;2293,084;1,887;17,953;406,390;3256,055;406,390
0;4275,000;9,392;15,518;161,314;161,314;2661,569;1,390;12,650;394,286;3342,081;394,286
0;4320,000;8,736;15,067;198,320;198,320;3504,508;2,744;24,521;381,001;6706,209;381,001
0;4365,000;8,370;13,246;152,534;152,534;1997,616;1,196;12,158;342,386;6710,865;342,386
0;4410,000;9,931;15,878;201,528;201,528;2209,584;0,475;12,583;349,486;3379,523;349,486
0;4455,000;10,699;18,101;221,484;221,484;2796,248;0,152;14,477;352,400;3392,732;352,400
0;4500,000;9,903;16,255;178,937;178,937;2077,927;-0,043;12,446;354,813;3407,336;354,813
0;4545,000;10,120;16,180;183,070;183,070;3228,165;0,347;11,676;346,219;3441,952;346,219
0;4590,000;10,728;17,152;224,560;224,560;2360,022;-0,371;13,492;354,684;3489,035;354,684
0;4635,000;11,738;17,843;183,703;183,703;1948,563;0,860;9,424;360,913;3536,384;360,913
