;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;4095,000;18,610;31,932;187,279;271,746;1555,318;0,437;9,869;609,097;10203,811;609,097
0;4140,000;18,114;31,143;172,015;299,723;1192,621;0,492;11,032;648,583;12707,857;648,583
0;4185,000;19,140;31,276;164,300;283,335;1027,460;0,909;9,714;684,959;12352,090;684,959
0;4230,000;19,923;33,304;182,037;305,875;1493,625;0,552;9,302;695,745;12442,919;695,745
0;4275,000;20,082;32,299;145,016;308,342;1110,681;0,453;7,865;712,273;10160,902;712,273
0;4320,000;20,132;31,857;140,506;245,287;973,809;0,352;6,841;703,869;10083,800;703,869
0;4365,000;23,148;40,172;213,575;438,268;1695,240;0,883;11,480;610,792;10140,627;610,792
0;4410,000;20,768;36,667;204,229;322,688;1132,191;1,192;10,094;561,500;10111,170;561,500
0;4455,000;17,659;28,277;165,424;272,029;795,088;0,735;10,616;616,991;9908,775;616,991
0;4500,000;18,332;28,553;147,733;257,430;780,547;0,133;8,821;678,620;9938,566;678,620
0;4545,000;16,729;27,103;158,284;288,425;787,761;1,316;13,025;723,042;9903,344;723,042
0;4590,000;19,402;32,135;183,554;263,882;927,335;0,602;11,260;783,382;9730,087;783,382
0;4635,000;17,701;28,883;166,067;267,684;850,748;0,493;10,275;823,821;9595,171;823,821
0;4680,000;18,076;28,473;169,708;248,552;1103,821;0,762;9,735;868,308;9666,749;868,308
0;4725,000;20,198;33,375;181,166;337,214;876,581;0,551;10,456;913,990;9633,332;913,990
0;4770,000;21,860;34,708;186,848;282,425;909,117;0,421;9,144;965,217;9582,713;965,217
0;4815,000;20,937;31,568;166,048;278,196;844,142;-0,447;7,907;1028,804;9448,068;1028,804
0;4860,000;22,954;36,899;194,253;432,353;929,974;-1,535;13,835;890,105;9401,555;890,105
0;4905,000;24,337;38,407;213,354;354,291;1348,029;-0,046;7,430;925,448;9424,864;925,448
0;4950,000;26,798;41,657;242,692;322,395;1345,403;0,622;5,840;939,954;9472,178;939,954
0;4995,000;27,133;44,233;245,207;298,238;1240,130;0,399;7,621;944,087;9553,363;944,087
0;5040,000;26,382;47,858;285,667;417,830;1610,213;1,733;13,169;963,950;9627,872;963,950
0;5085,000;20,545;38,372;185,233;359,419;1336,864;0,396;14,594;936,808;0,000;936,808
0;5130,000;18,098;34,968;169,803;413,870;1335,755;1,325;19,860;768,122;0,000;768,122
0;5175,000;13,892;24,357;127,556;310,107;995,184;-0,670;17,611;544,562;0,000;544,562
0;5220,000;14,379;24,011;116,421;314,409;887,623;-0,881;18,108;517,474;6948,513;517,474
0;5265,000;16,438;27,974;120,776;291,438;822,414;0,738;13,455;480,100;7056,129;480,100
0;5310,000;13,103;20,011;100,094;205,244;933,726;0,833;9,727;479,430;4091,160;479,430
0;5355,000;13,679;21,304;109,836;205,437;1062,548;0,495;8,808;471,290;2125,411;471,290
0;5400,000;14,567;22,904;119,895;195,392;1025,356;0,804;8,647;454,171;2193,742;454,171
0;5445,000;13,286;20,879;127,298;180,344;960,477;0,980;9,764;427,975;4426,674;427,975
0;5490,000;11,516;17,460;101,508;180,474;783,907;0,183;9,835;442,974;0,000;442,974
0;5535,000;11,477;17,513;94,997;204,975;755,425;-0,110;13,483;480,090;0,000;480,090
0;5580,000;12,110;18,325;93,232;196,045;709,952;-0,176;10,998;455,451;0,000;455,451
0;5625,000;11,583;18,263;91,198;203,028;968,702;1,327;13,887;423,852;0,000;423,852
0;5670,000;9,801;15,091;75,088;145,031;606,511;1,704;14,182;394,836;0,000;394,836
0;5715,000;9,991;13,811;75,876;112,733;693,590;0,767;6,368;401,693;0,000;401,693
0;5760,000;11,175;16,196;83,774;126,650;663,767;0,417;5,582;452,317;0,000;452,317
0;5805,000;13,191;21,779;139,988;260,762;1445,611;1,058;12,293;510,971;0,000;510,971
0;5850,000;14,515;23,067;141,341;202,461;1135,302;0,557;8,057;531,255;0,000;531,255
0;5895,000;15,272;23,635;129,862;181,149;877,580;0,731;7,095;524,357;0,000;524,357
0;5940,000;15,605;24,863;130,841;205,164;983,695;0,442;7,962;554,326;0,000;554,326
0;5985,000;19,269;30,376;158,814;230,317;1140,216;0,369;6,799;594,211;0,000;594,211
0;6030,000;18,968;29,585;150,529;259,898;883,239;0,916;8,449;662,197;0,000;662,197
0;6075,000;18,012;27,829;146,633;252,377;945,030;0,955;8,950;718,089;0,000;718,089
0;6120,000;20,918;35,172;184,150;362,903;1129,480;0,512;11,510;700,479;3471,859;700,479
0;6165,000;23,273;37,714;202,576;397,792;873,084;0,627;9,641;678,612;3379,723;678,612
0;6210,000;20,793;32,941;177,296;241,154;1125,100;0,630;6,934;675,040;3127,819;675,040
0;6255,000;21,095;34,035;199,987;256,227;1251,143;0,829;7,724;679,603;3038,218;679,603
